,Ingredient,Number of rations needed
0,Sliced Ham,94
1, Pineapple,225
2, Mozzarella Cheese,372
3,Pepperoni,376
4, Mushrooms,362
5, Red Onions,1030
6, Red Peppers,741
7, Bacon,134
8, Provolone Cheese,108
9, Smoked Gouda Cheese,211
10, Romano Cheese,108
11, Blue Cheese,108
12, Garlic,1331
13,Calabrese Salami,122
14, Capocollo,343
15, Tomatoes,1283
16, Green Olives,276
17, Jalapeno Peppers,239
18, Cilantro,136
19, Corn,136
20, Chipotle Sauce,136
21,Chicken,406
22, Thai Sweet Chilli Sauce,131
23,Prosciutto di San Daniele,66
24, Arugula,58
25,Barbecued Chicken,109
26, Green Peppers,207
27, Barbecue Sauce,109
28,Kalamata Olives,268
29, Feta Cheese,192
30, Beef Chuck Roast,77
31,Spinach,521
32, Artichokes,468
33, Asiago Cheese,266
34, Goat Cheese,171
35, Oregano,71
36, Peperoncini verdi,100
37, Sun-dried Tomatoes,81
38, Pesto Sauce,119
39, Zucchini,90
40, Fontina Cheese,130
41, Italian Sausage,37
42, Chorizo Sausage,37
43,Soppressata Salami,27
44,Ricotta Cheese,85
45, Gorgonzola Piccante Cheese,85
46, Parmigiano Reggiano Cheese,85
47, Anchovies,52
48,Eggplant,30
49, Plum Tomatoes,37
50,Genoa Salami,50
51,Coarse Sicilian Salami,74
52, Luganega Sausage,74
53, Alfredo Sauce,62
54,Brie Carre Cheese,8
55, Caramelized Onions,8
56, Pears,8
57, Thyme,8
